start_jst,home_away,opponent,week,season_type
2012-09-14 09:20,home,CHI,2,REG
2012-09-25 09:30,away,SEA,3,REG
2012-10-01 05:25,home,NO,4,REG
2012-10-08 02:00,away,IND,5,REG
2012-10-15 09:20,away,HOU,6,REG
2012-10-22 02:00,away,STL,7,REG
2012-10-29 02:00,home,JAX,8,REG
2012-11-05 03:00,home,ARI,9,REG
2012-11-19 03:00,away,DET,11,REG
2012-11-26 10:20,away,NYG,12,REG
2012-12-03 03:00,home,MIN,13,REG
2012-12-10 10:20,home,DET,14,REG
2012-12-17 03:00,away,CHI,15,REG
2012-12-24 03:00,home,TEN,16,REG
2012-12-31 06:25,away,MIN,17,REG
2013-01-06 10:00,home,MIN,18,WC
2013-01-13 10:00,away,SF,19,DIV
2013-09-09 05:25,away,SF,1,REG
2013-09-16 02:00,home,WAS,2,REG
2013-09-23 02:00,away,CIN,3,REG
2013-10-07 02:00,home,DET,5,REG
2013-10-14 02:00,away,BAL,6,REG
2013-10-21 05:25,home,CLE,7,REG
2013-10-28 09:30,away,MIN,8,REG
2013-11-05 10:30,home,CHI,9,REG
2013-11-11 03:00,home,PHI,10,REG
2013-11-18 06:25,away,NYG,11,REG
2013-11-25 03:00,home,MIN,12,REG
2013-11-29 02:30,away,DET,13,REG
2013-12-09 03:00,home,ATL,14,REG
2013-12-16 06:25,away,DAL,15,REG
2013-12-23 06:25,home,PIT,16,REG
2013-12-30 06:25,away,CHI,17,REG
2014-01-06 06:40,home,SF,18,WC
2014-09-05 09:30,away,SEA,1,REG
2014-09-15 05:25,home,NYJ,2,REG
2014-09-22 02:00,away,DET,3,REG
2014-09-29 02:00,away,CHI,4,REG
2014-10-03 09:25,home,MIN,5,REG
2014-10-13 02:00,away,MIA,6,REG
2014-10-20 02:00,home,CAR,7,REG
2014-10-27 09:30,away,NO,8,REG
2014-11-10 10:30,home,CHI,10,REG
2014-11-17 06:25,home,PHI,11,REG
2014-11-24 03:00,away,MIN,12,REG
2014-12-01 06:25,home,NE,13,REG
2014-12-09 10:30,home,ATL,14,REG
2014-12-15 03:00,away,BUF,15,REG
2014-12-22 03:00,away,TB,16,REG
2014-12-29 06:25,home,DET,17,REG
2015-01-12 03:05,home,DAL,19,DIV
2015-01-19 05:05,away,SEA,20,CON
2015-09-14 02:00,away,CHI,1,REG
2015-09-21 09:30,home,SEA,2,REG
